Facility name,Location,Country,County,Description,Objectives,Partners,Start Date,Project Type,Year,BCG_n,DPT1_n,DPT3_n,FIC,First_ANC,ANC_4visits,deliveries_n,Livebirths_n,Macerated_births,FSB,pre-term,LBW<2500g,GOPD_n,CWC_n,ANC_n,FSB_rateper1000,Prop_LBW,prop_preterm,NHIF_claims
Githurai-lang'ata,"Kiambu, Kenya",Kenya,Kiambu,"The first CLC site developed for proof of concept. It is a level 3 health facility that provides curative, immunization, antenatal, maternity and postnatal services, HIV and TB services, laboratory and ultrasound services. It also include community health services, provides water through a borehole and solar lighting.",To develop and test the CLC concept,Philips and Kiambu County Government,"June, 2014",Exploration,2013,,,,446,106,,,,,,,,10105,2745,491,,,,
Githurai-lang'ata,"Kiambu, Kenya",Kenya,Kiambu,"The first CLC site developed for proof of concept. It is a level 3 health facility that provides curative, immunization, antenatal, maternity and postnatal services, HIV and TB services, laboratory and ultrasound services. It also include community health services, provides water through a borehole and solar lighting.",To develop and test the CLC concept,Philips and Kiambu County Government,"June, 2014",Exploration,2014,243,967,829,684,884,332,151,146,1,4,5,11,24209,6079,2840,26.5,7.5,3.4,
Githurai-lang'ata,"Kiambu, Kenya",Kenya,Kiambu,"The first CLC site developed for proof of concept. It is a level 3 health facility that provides curative, immunization, antenatal, maternity and postnatal services, HIV and TB services, laboratory and ultrasound services. It also include community health services, provides water through a borehole and solar lighting.",To develop and test the CLC concept,Philips and Kiambu County Government,"June, 2014",Exploration,2015,578,1691,1629,1126,2720,1491,440,434,1,5,6,27,35360,11505,9064,11.4,6.2,1.4,
Githurai-lang'ata,"Kiambu, Kenya",Kenya,Kiambu,"The first CLC site developed for proof of concept. It is a level 3 health facility that provides curative, immunization, antenatal, maternity and postnatal services, HIV and TB services, laboratory and ultrasound services. It also include community health services, provides water through a borehole and solar lighting.",To develop and test the CLC concept,Philips and Kiambu County Government,"June, 2014",Exploration,2016,657,2017,1910,1444,2947,1831,554,539,4,11,9,20,24784,14562,9775,19.9,3.7,1.7,
Githurai-lang'ata,"Kiambu, Kenya",Kenya,Kiambu,"The first CLC site developed for proof of concept. It is a level 3 health facility that provides curative, immunization, antenatal, maternity and postnatal services, HIV and TB services, laboratory and ultrasound services. It also include community health services, provides water through a borehole and solar lighting.",To develop and test the CLC concept,Philips and Kiambu County Government,"June, 2014",Exploration,2017,247,929,822,780,2092,817,172,170,2,0,2,6,16994,8270,7795,0.0,3.5,1.2,
Githurai-lang'ata,"Kiambu, Kenya",Kenya,Kiambu,"The first CLC site developed for proof of concept. It is a level 3 health facility that provides curative, immunization, antenatal, maternity and postnatal services, HIV and TB services, laboratory and ultrasound services. It also include community health services, provides water through a borehole and solar lighting.",To develop and test the CLC concept,Philips and Kiambu County Government,"June, 2014",Exploration,2018,550,2394,2284,1497,3152,1623,427,423,3,1,5,16,47796,16657,11633,2.3,3.8,1.2,
Githurai-lang'ata,"Kiambu, Kenya",Kenya,Kiambu,"The first CLC site developed for proof of concept. It is a level 3 health facility that provides curative, immunization, antenatal, maternity and postnatal services, HIV and TB services, laboratory and ultrasound services. It also include community health services, provides water through a borehole and solar lighting.",To develop and test the CLC concept,Philips and Kiambu County Government,"June, 2014",Exploration,2019,643,2612,2312,1891,4016,2796,584,571,4,9,7,20,70161,20390,14250,15.4,3.5,1.2,
Dandu,"Mandera, Kenya",Kenya,Mandera,"It is a level 3 health facility that provides curative, immunization, antenatal, maternity, postnatal services, HIV, TB services, laboratory and ultrasound services. It also includes community health services and solar lighting.",To develop and test the CLC concept,"Philips, UNFPA and Mandera County","July, 2017",Exploration,2016,421,509,474,422,399,88,298,289,0,9,0,2,11099,543,750,30.2,0.7,0.0,
Dandu,"Mandera, Kenya",Kenya,Mandera,"It is a level 3 health facility that provides curative, immunization, antenatal, maternity, postnatal services, HIV, TB services, laboratory and ultrasound services. It also includes community health services and solar lighting.",To develop and test the CLC concept,"Philips, UNFPA and Mandera County","July, 2017",Exploration,2017,460,519,383,411,416,153,279,277,1,1,1,1,13047,3979,1004,3.6,0.4,0.4,
Dandu,"Mandera, Kenya",Kenya,Mandera,"It is a level 3 health facility that provides curative, immunization, antenatal, maternity, postnatal services, HIV, TB services, laboratory and ultrasound services. It also includes community health services and solar lighting.",To develop and test the CLC concept,"Philips, UNFPA and Mandera County","July, 2017",Exploration,2018,560,723,603,810,486,278,512,501,5,6,53,3,17085,2462,975,11.7,0.6,10.6,
Dandu,"Mandera, Kenya",Kenya,Mandera,"It is a level 3 health facility that provides curative, immunization, antenatal, maternity, postnatal services, HIV, TB services, laboratory and ultrasound services. It also includes community health services and solar lighting.",To develop and test the CLC concept,"Philips, UNFPA and Mandera County","July, 2017",Exploration,2019,476,695,625,524,473,242,511,502,4,5,44,12,12660,1648,1016,9.8,2.4,8.8,
Emali,"Makueni, Kenya",Kenya,Makueni,"The Partnership for Primary Care (P4PC) model involves outsourcing the operation of primary health facilities to the Philips/Amref partnership. A feasibility pilot has been ongoing since 2019, the pilot has involved upgrading of Emali health center, Matiku and Tutini dispensaries and documentation of lessons learnt. The pilot will inform the scaling of the project to other facilities in Makueni County.","To address access to primary health care through improvements in quality of care, engagement of communities, financial sustainability, and system efficiency. ","Philips, Amref and Makueni County","March, 2019",Feasibility Pilot (Commercial),2018,233,395,384,234,725,272,211,207,4,0,4,13,27176,3965,2035,0.0,6.3,1.9,178900.0
Emali,"Makueni, Kenya",Kenya,Makueni,"The Partnership for Primary Care (P4PC) model involves outsourcing the operation of primary health facilities to the Philips/Amref partnership. A feasibility pilot has been ongoing since 2019, the pilot has involved upgrading of Emali health center, Matiku and Tutini dispensaries and documentation of lessons learnt. The pilot will inform the scaling of the project to other facilities in Makueni County.","To address access to primary health care through improvements in quality of care, engagement of communities, financial sustainability, and system efficiency. ","Philips, Amref and Makueni County","March, 2019",Feasibility Pilot (Commercial),2019,294,475,465,389,827,354,301,294,6,1,2,4,27022,5231,2543,3.3,1.4,0.7,1702200.0
Matiku,"Makueni, Kenya",Kenya,Makueni,"The Partnership for Primary Care (P4PC) model involves outsourcing the operation of primary health facilities to the Philips/Amref partnership. A feasibility pilot has been ongoing since 2019, the pilot has involved upgrading of Emali health center, Matiku and Tutini dispensaries and documentation of lessons learnt. The pilot will inform the scaling of the project to other facilities in Makueni County.","To address access to primary health care through improvements in quality of care, engagement of communities, financial sustainability, and system efficiency. ","Philips, Amref and Makueni County","March, 2019",Feasibility Pilot (Commercial),2018,6,17,18,33,4,5,1,1,0,0,0,0,4171,516,30,0.0,0.0,0.0,0.0
Matiku,"Makueni, Kenya",Kenya,Makueni,"The Partnership for Primary Care (P4PC) model involves outsourcing the operation of primary health facilities to the Philips/Amref partnership. A feasibility pilot has been ongoing since 2019, the pilot has involved upgrading of Emali health center, Matiku and Tutini dispensaries and documentation of lessons learnt. The pilot will inform the scaling of the project to other facilities in Makueni County.","To address access to primary health care through improvements in quality of care, engagement of communities, financial sustainability, and system efficiency. ","Philips, Amref and Makueni County","March, 2019",Feasibility Pilot (Commercial),2019,18,41,35,48,40,26,10,10,0,0,1,1,6419,712,153,0.0,10.0,10.0,334950.0
Tutini,"Makueni, Kenya",Kenya,Makueni,"The Partnership for Primary Care (P4PC) model involves outsourcing the operation of primary health facilities to the Philips/Amref partnership. A feasibility pilot has been ongoing since 2019, the pilot has involved upgrading of Emali health center, Matiku and Tutini dispensaries and documentation of lessons learnt. The pilot will inform the scaling of the project to other facilities in Makueni County.","To address access to primary health care through improvements in quality of care, engagement of communities, financial sustainability, and system efficiency. ","Philips, Amref and Makueni County","March, 2019",Feasibility Pilot (Commercial),2018,9,29,34,50,13,18,10,10,0,0,0,0,6951,585,74,0.0,0.0,0.0,0.0
Tutini,"Makueni, Kenya",Kenya,Makueni,"The Partnership for Primary Care (P4PC) model involves outsourcing the operation of primary health facilities to the Philips/Amref partnership. A feasibility pilot has been ongoing since 2019, the pilot has involved upgrading of Emali health center, Matiku and Tutini dispensaries and documentation of lessons learnt. The pilot will inform the scaling of the project to other facilities in Makueni County.","To address access to primary health care through improvements in quality of care, engagement of communities, financial sustainability, and system efficiency. ","Philips, Amref and Makueni County","March, 2019",Feasibility Pilot (Commercial),2019,23,40,36,43,28,29,25,25,0,0,0,2,7521,589,114,0.0,8.0,0.0,475250.0
